Compound name,	Molecular formula
Acetic acid,	CH3COOH
Hydrochloric acid,Hcl
Sulfuric acid,	H2SO4
Acetate,	CH3COO–
Ammonia,	NH3
Nitric acid,	HNO3
Phosphoric acid,	H3PO4
Sodium phosphate,	Na3PO4
Calcium carbonate,	CaCO3
Ammonium sulfate,	(NH4)2SO4
Carbonic acid,	H2CO3
Sodium bicarbonate,	NaHCO3
Sodium hydroxide,NaOH
Calcium hydroxide,	Ca(OH)2
Ethanol,	C2H5OH
Hydrobromic acid,Hbr
Nitrous acid,	HNO2
Potassium hydroxide,	KOH
Silver nitrate,	AgNO3
Sodium carbonate,	Na2CO3
Sodium chloride,NaCl
Cellulose,	(C6H10O5)n
Magnesium hydroxide,	Mg(OH)2
Methane,	CH4
Nitrogen dioxide,	NO2
Sodium nitrate,	NaNO3
Sulfurous acid,	H2SO3
Aluminium sulfate,	Al2(SO4)3
Aluminum oxide,	Al2O3
Ammonium nitrate,	NH4NO3
Ammonium phosphate,	(NH4)3PO4
Barium hydroxide,	Ba(OH)2
Carbon tetrachloride,	CCl4
Citric acid,	C6H8O7
Hydrocyanic acid,	HCN
Salicylic acid,	C7H6O3
Hydroiodic acid,	HI
Hypochlorous acid,HclO
Iron iii oxide,	Fe2O3
Magnesium phosphate,	Mg3(PO4)2
Sodium acetate,	C2H3NaO2
Sodium sulfate,	Na2SO4
Sucrose,	C12H22O11
Potassium nitrate,	KNO3
Ammonium bicarbonate,	NH4HCO3
Ammonium chloride,	NH4Cl
Ammonium hydroxide,	NH4OH
Calcium nitrate,	Ca(NO3)2
Calcium oxide,CaO
Carbon monoxide,	CO
Chlorine gas,	Cl2
Phenol,	C6H6O
Hydrogen peroxide,	H2O2
Hydroxide,	OH–
Magnesium chloride,	MgCl2
Potassium chloride,Kcl
Potassium iodide,	KI
Sulfur dioxide,	SO2
Glycerin,	C3H8O3
Barium nitrate,	Ba(NO3)2
Calcium acetate,	C4H6O4Ca
Iron oxide,	Fe2O3
Potassium carbonate ,	K2CO3
Silver chloride,AgCl
Sodium iodide,NaI
Sodium oxide,	Na2O
Sodium sulfide,	Na2S
Zinc nitrate,	Zn(NO3)2
Phenolphthalein,	C20H14O4
Magnesium nitrate,	Mg(NO3)2
Silicon dioxide,	SiO2
Acetone,	C3H6O
Hydroquinone,	C6H6O2
Pyridine,	C5H5N
Ammonium acetate,	C2H3O2NH4
Xylene,	C8H10
Barium sulfate,	BaSO4
Benzene,	C6H6
Bicarbonate,	CHO3–
Chromate,	CrO42-
Methyl Ethyl Ketone,	C4H8O
Cyanide,	CN?
Trichloroacetic acid,	C2HCl3O2
Magnesium sulfate,	MgSO4
Methanol,	CH3OH
Oxygen,	O
Methylene blue,	C16H18ClN3S
Sodium sulfite,	Na2SO3
Sulfur trioxide,	SO3
Aluminum phosphate,	AlPO4
Stearic acid,	C18H36O2
Dinitrogen monoxide,	N2O
Titanium dioxide,	TiO2
Acetonitrile,	C2H3N
Oxalic acid,	H2C2O4
Potassium dichromate,	K2Cr2O7
Sodium bromide,NaBr
Sodium hypochlorite,NaClO
Zinc acetate,	Zn(CH3COO)2(H2O)2
Zinc chloride,	ZnCl2
Zinc hydroxide,	Zn(OH)2
Magnesium carbonate ,	MgCO3
Potassium chlorate,	KClO3
Hydrazine,	N2H4
Ascorbic acid,	C6H8O6
Benzoic acid,	C7H6O2
Resorcinol,	C6H6O2
Chlorine,	Cl2
Maleic acid,	C4H4O4
Sodium metabisulfite,	Na2S2O5
Acetamide,	C2H5NO
Sodium silicate,	(Na2O)x·SiO2
Nitrite,	NO2?
Phosphate,	PO43-
Dichloromethane,	CH2Cl2
Carbon Disulfide,	CS2
Potassium chromate,	CrK2O4
Zinc sulfate,	ZnSO4
Iodine,	I
Tannic acid,	C76H52O46
Aluminum,	Al
Perchloric acid,	HClO4
Hypochlorite,ClO–
Potassium bromide,Kbr
Chromic acid,	H2CrO4
Dihydrogen monoxide,	OH2
Methyl acetate,	C3H6O2
Dimethyl sulfoxide,	C2H6OS
Hexane,	C6H14
Eugenol,	C10H12O2
Manganese dioxide,	MnO2
Lactic acid,	C3H6O3
Sodium potassium tartrate,	C4H4O6KNa?4H2O
Hexamine,	C6H12N4
Lithium hydroxide,LiOH
Phosphorus pentachloride,	PCl5
Potassium oxide,	K2O
Monopotassium phosphate,	KH2PO4
Silver acetate,	AgC2H3O2
Sodium citrate,	Na3C6H5O7
Sodium fluoride,NaF
Sodium nitrite,	NaNO2
Sulfate ion,	SO42?
Barium carbonate ,	BaCO3
Calcium iodide,	CaI2
Hydrogen sulfate,	HSO4–
Lithium oxide,	Li2O
Dimethylglyoxime,	C4H8N2O2
Potassium permanganate,	KMnO4
Silver phosphate,	Ag3PO4
Ammonium bromide,	NH4Br
Calcium phosphate,	Ca3(PO4)2
Dichromate,	K2Cr2O7
Aluminum sulfide,	Al2S3
Ammonium carbonate ,	(NH4)2CO3
Barium chloride,	BaCl2
Nitrogen monoxide,	NO
Fructose,	C6H12O6
Magnesium iodide,	MgI2
Magnesium sulfide,MgS
Ozone,	O3
Potassium cyanide,	KCN
Silver oxide,	Ag2O
Sodium chromate,	Na2CrO4
Sodium peroxide,	Na2O2
Toluene,	C7H8
Zinc carbonate ,	ZnCO3
Zinc phosphate,	Zn3(PO4)2
Zinc sulfide,ZnS
Para dichlorobenzene,	C6H4Cl2
Boric acid,	H3BO3
Oxalate,	C2O42?
Potassium bicarbonate,	KHCO3
Potassium hypochlorite,KclO
Potassium nitrite,	KNO2
Bromothymol Blue,	C27H28Br2O5S
Ammonium iodide,	NH4I
Ammonium nitrite,	NH4NO2
Ammonium oxide,	(NH4)2O
Argon gas,	Ar
Barium bromide,	BaBr2
Barium iodide,	BaI2
Bromate,	BrO3–
Dinitrogen trioxide,	N2O3
Ethylene glycol,	C2H6O2
Nickel sulfate,	NiSO4
Helium, He
Iodide,	I–
Lead ii acetate,	Pb(C2H3O2)2
Lithium chloride,LiCl
Phosphate ion,	PO43-
Potassium fluoride,	KF
Potassium sulfite,	K2SO3
Silver carbonate ,	Ag2CO3
Sodium cyanide,NaCN
Sodium nitride,	Na3N
Strontium chloride,	SrCl2
Strontium nitrate,	Sr(NO3)2
Urea,	CH4N2O
Bleach,NaClO
Lithium bromide,LiBr
Aluminum fluoride,	AlF3
Barium fluoride,	BaF2
Butanoic acid,	C4H8O2
Calcium hydride,	CaH2
Copper ii carbonate,	CuCO3
Fluorine,	F
Lithium phosphate,	Li3PO4
Glycerol,	C3H8O3
Hypobromous acid,HbrO
Hypoiodous acid,	HIO
Lead iodide,	PbI2
Lithium iodide,LiI
Magnesium oxide,MgO
Urethane,	C3H7NO2
Nickel nitrate,	Ni(NO3)2
Sodium dichromate,	Na2Cr2O7
Tartaric acid,	C4H6O6
Zinc iodide,	ZnI2
Bromine,	Br
Aluminum bromide,	AlBr3
Sodium Percarbonate,	C2H6Na4O12
Nickel acetate,	C4H6O4Ni
Sodium Thiosulfate,	Na2S2O3
Acetaldehyde,	C2H4O
Copper sulfate,	CuSO4
Mannitol,	C6H14O6
Calcium chloride,	CaCl2
Monosodium Glutamate,	C5H8NO4Na
Polystyrene,	(C8H8)n
Calcium Carbide,	CaC2
Tetrachloroethylene,	C2Cl4
Sodium Chlorate,	NaClO3
Potassium Iodate,	KIO3
Lead acetate,	Pb(C2H3O2)2
Potassium Thiocyanate,	KSCN
Butane,	C4H10
Maltose,	C12H22O11
Polyurethane Foam,	C27H36N2O10
Formaldehyde,	CH2O
Formic acid,	HCOOH
Sulfur Hexafluoride,	SF6
Phosphorus Trichloride,	PCl3
Ethane,	C2H6
Dinitrogen Pentoxide,	N2O5
Phosphorous acid,	H3PO3
Potassium Ferrocyanide,	K4Fe(CN)6
Xenon Difluoride,	XeF2
Diatomic Bromine,	Br2
Phenyl,	C6H5
Phosphorus Triiodide,	PI3
Peroxydisulfuric acid,	H2S2O8
Dipotassium phosphate,	K2HPO4
Aluminium hydroxide,	Al(OH)3
Ammonium persulfate,	(NH4)2S2O8
Sodium borate,	Na2[B4O5(OH)4]·8H2O
Chloroacetic acid,	C2H3O2Cl
Potassium acetate,	CH3CO2K
Barium oxide,BaO
Copper(I) oxide,	Cu2O
Copper hydroxide,	Cu(OH)2
Tin oxide,	SnO2
Chlorine Trifluoride,	ClF3
Ethylene,	C2H4
Acetylene,	C2H2
Chromic oxide,	Cr2O3
Sodium bisulfate,	NaHSO4
Copper (II) chloride,	CuCl2
Mercuric chloride,	HgCl2
Tin (II) chloride,	SnCl2
Propane,	C3H8
Lead (IV) oxide,	PbO2
