2018,2019,2020,2021
02/26,-,-,7:25,-
03/04,-,-,6:39,-
03/11,-,-,7:05,-
03/22,-,-,-,7:04
03/30,-,7:41,-,-
04/01,-,-,6:50,-
04/06,-,7:37,-,-
04/19,-,7:15,-,-
04/21,-,-,6:58,-
04/26,-,7:30,-,-
04/27,-,7:20,-,-
05/05,-,-,6:50,-
05/11,-,6:44,-,-
05/12,-,-,6:58,-
05/18,-,6:30,-,-
06/02,-,7:08,-,-
06/09,-,-,6:56,-
06/15,-,7:10,6:50,-
06/21,-,6:50,-,-
06/26,-,-,6:34,-
06/28,-,7:10,-,-
07/03,-,6:55,-,-
07/07,-,6:50,-,-
07/10,-,6:40,-,-
07/11,-,-,-,7:18
07/16,-,-,6:21,-
07/18,-,-,-,7:14
07/21,6:42,6:45,-,-
07/25,6:58,-,-,-
07/29,-,6:44,-,-
07/31,6:58,-,7:21,-
08/03,6:45,-,-,-
08/04,-,-,7:32,-
08/06,-,6:30,-,-
08/09,6:40,-,-,-
08/12,-,-,6:38,-
08/14,6:38,-,-,-
08/15,-,-,6:34,-
08/18,6:16,-,-,7:07
08/22,-,6:44,-,-
08/25,-,7:00,-,-
08/28,-,-,6:42,-
08/29,-,-,-,6:45
09/11,-,7:04,-,-
09/12,-,-,6:35,-
09/21,-,6:34,-,-
09/22,6:34,-,-,-
09/25,-,6:50,-,-
09/27,-,-,6:47,-
10/02,-,6:28,-,-
10/04,-,-,6:45,-
11/03,7:03,-,-,-
11/27,-,-,6:48,-
12/11,-,-,6:33,-
12/23,7:40,-,-,-